filename	wav	sentence	speaker
arctic_a0001	arctic_a0001.wav	Author of the danger trail, Philip Steels, etc.	bdl
arctic_a0002	arctic_a0002.wav	Not at this particular case, Tom, apologized Whittemore.	bdl
arctic_a0003	arctic_a0003.wav	For the twentieth time that evening the two men shook hands.	bdl
arctic_a0004	arctic_a0004.wav	Lord, but I'm glad to see you again, Phil.	bdl
arctic_a0005	arctic_a0005.wav	Will we ever forget it.	bdl
arctic_a0006	arctic_a0006.wav	God bless 'em, I hope I'll go on seeing them forever.	bdl
arctic_a0007	arctic_a0007.wav	And you always want to see it in the superlative degree.	bdl
arctic_a0008	arctic_a0008.wav	Gad, your letter came just in time.	bdl
arctic_a0009	arctic_a0009.wav	He turned sharply, and faced Gregson across the table.	bdl
arctic_a0010	arctic_a0010.wav	I'm playing a single hand in what looks like a losing game.	bdl
arctic_a0011	arctic_a0011.wav	If I ever needed a fighter in my life I need one now.	bdl
arctic_a0012	arctic_a0012.wav	Gregson shoved back his chair and rose to his feet.	bdl
arctic_a0013	arctic_a0013.wav	He was a head shorter than his companion, of almost delicate physique.	bdl
arctic_a0014	arctic_a0014.wav	Now you're coming down to business, Phil, he exclaimed.	bdl
arctic_a0015	arctic_a0015.wav	It's the aurora borealis.	bdl
arctic_a0016	arctic_a0016.wav	There's Fort Churchill, a rifle-shot beyond the ridge, asleep.	bdl
arctic_a0017	arctic_a0017.wav	From that moment his friendship for Belize turns to hatred and jealousy.	bdl
arctic_a0018	arctic_a0018.wav	There was a change now.	bdl
arctic_a0019	arctic_a0019.wav	I followed the line of the proposed railroad, looking for chances.	bdl
arctic_a0020	arctic_a0020.wav	Clubs and balls and cities grew to be only memories.	bdl
arctic_a0021	arctic_a0021.wav	It fairly clubbed me into recognizing it.	bdl
arctic_a0022	arctic_a0022.wav	Hardly were our plans made public before we were met by powerful opposition.	bdl
arctic_a0023	arctic_a0023.wav	A combination of Canadian capital quickly organized and petitioned for the same privileges.	bdl
arctic_a0024	arctic_a0024.wav	It was my reports from the north which chiefly induced people to buy.	bdl
arctic_a0025	arctic_a0025.wav	I was about to do this when cooler judgment prevailed.	bdl
arctic_a0026	arctic_a0026.wav	It occurred to me that there would have to be an accounting.	bdl
arctic_a0027	arctic_a0027.wav	To my surprise he began to show actual enthusiasm in my favor.	bdl
arctic_a0028	arctic_a0028.wav	Robbery, bribery, fraud,	bdl
arctic_a0029	arctic_a0029.wav	Their forces were already moving into the north country.	bdl
arctic_a0030	arctic_a0030.wav	I had faith in them.	bdl
arctic_a0031	arctic_a0031.wav	They were three hundred yards apart.	bdl
arctic_a0032	arctic_a0032.wav	Since then some mysterious force has been fighting us at every step.	bdl
arctic_a0033	arctic_a0033.wav	He unfolded a long typewritten letter, and handed it to Gregson.	bdl
arctic_a0034	arctic_a0034.wav	Men of Selden's stamp don't stop at women and children.	bdl
arctic_a0035	arctic_a0035.wav	He stopped, and Philip nodded at the horrified question in his eyes.	bdl
arctic_a0036	arctic_a0036.wav	She turned in at the hotel.	bdl
arctic_a0037	arctic_a0037.wav	I was the only one who remained sitting.	bdl
arctic_a0038	arctic_a0038.wav	We'll have to watch our chances.	bdl
arctic_a0039	arctic_a0039.wav	The ship should be in within a week or ten days.	bdl
arctic_a0040	arctic_a0040.wav	I suppose you wonder why she is coming up here.	bdl
arctic_a0041	arctic_a0041.wav	Meanwhile I'll go out to breathe a spell.	bdl
arctic_a0042	arctic_a0042.wav	How could he explain his possession of the sketch.	bdl
arctic_a0043	arctic_a0043.wav	It seemed nearer to him since he had seen and talked with Gregson.	bdl
arctic_a0044	arctic_a0044.wav	Her own betrayal of herself was like tonic to Philip.	bdl
arctic_a0045	arctic_a0045.wav	He moved away as quietly as he had come.	bdl
arctic_a0046	arctic_a0046.wav	The girl faced him, her eyes shining with sudden fear.	bdl
arctic_a0047	arctic_a0047.wav	Close beside him gleamed the white fangs of the wolf-dog.	bdl
arctic_a0048	arctic_a0048.wav	He looked at the handkerchief more, closely.	bdl
arctic_a0049	arctic_a0049.wav	Gregson was asleep when he re-entered the cabin.	bdl
arctic_a0050	arctic_a0050.wav	In spite of their absurdity the words affected Philip curiously.	bdl
arctic_a0051	arctic_a0051.wav	The lace was of a delicate ivory color, faintly tinted with yellow.	bdl
arctic_a0052	arctic_a0052.wav	It was a curious coincidence.	bdl
arctic_a0053	arctic_a0053.wav	Suddenly his fingers closed tightly over the handkerchief.	bdl
arctic_a0054	arctic_a0054.wav	There was nothing on the rock.	bdl
arctic_a0055	arctic_a0055.wav	Philip stood undecided, his ears strained to catch the slightest sound.	bdl
arctic_a0056	arctic_a0056.wav	Pearce's little eyes were fixed on him shrewdly.	bdl
arctic_a0057	arctic_a0057.wav	I have no idea, replied Philip.	bdl
arctic_a0058	arctic_a0058.wav	I came for information more out of curiosity than anything else.	bdl
arctic_a0059	arctic_a0059.wav	His immaculate appearance was gone.	bdl
arctic_a0060	arctic_a0060.wav	Anyway, no one saw her like that.	bdl
arctic_a0061	arctic_a0061.wav	Philip snatched at the letter which Gregson held out to him.	bdl
arctic_a0062	arctic_a0062.wav	The men stared into each other's face.	bdl
arctic_a0063	arctic_a0063.wav	Yes, it was a man who asked, a stranger.	bdl
arctic_a0064	arctic_a0064.wav	The fourth and fifth days passed without any developments.	bdl
arctic_a0065	arctic_a0065.wav	They closed now until his fingers were like cords of steel.	bdl
arctic_a0066	arctic_a0066.wav	He saw Jeanne falter for a moment.	bdl
arctic_a0067	arctic_a0067.wav	Surely I will excuse you, she cried.	bdl
arctic_a0068	arctic_a0068.wav	In a flash Philip followed its direction.	bdl
arctic_a0069	arctic_a0069.wav	It was his intention to return to Eileen and her father.	bdl
arctic_a0070	arctic_a0070.wav	He would first hunt up Gregson and begin his work there.	bdl
arctic_a0071	arctic_a0071.wav	What was the object of your little sensation.	bdl
arctic_a0072	arctic_a0072.wav	But who was Eileen's double.	bdl
arctic_a0073	arctic_a0073.wav	The promoter's eyes were heavy, with little puffy bags under them.	bdl
arctic_a0074	arctic_a0074.wav	And now, down there, Eileen was waiting for him.	bdl
arctic_a0075	arctic_a0075.wav	There has been a change, she interrupted him.	bdl
arctic_a0076	arctic_a0076.wav	The gray eyes faltered; the flush deepened.	bdl
arctic_a0077	arctic_a0077.wav	It is the fire, partly, she said.	bdl
arctic_a0078	arctic_a0078.wav	Then, and at supper, he tried to fathom her.	bdl
arctic_a0079	arctic_a0079.wav	It was a large canoe.	bdl
arctic_a0080	arctic_a0080.wav	What if Jeanne failed him.	bdl
arctic_a0081	arctic_a0081.wav	What if she did not come to the rock.	bdl
arctic_a0082	arctic_a0082.wav	His face was streaming with blood.	bdl
arctic_a0083	arctic_a0083.wav	A shadow was creeping over Pierre's eyes.	bdl
arctic_a0084	arctic_a0084.wav	Scarcely had he uttered the name when Pierre's closing eyes shot open.	bdl
arctic_a0085	arctic_a0085.wav	A trickle of fresh blood ran over his face.	bdl
arctic_a0086	arctic_a0086.wav	Death had come with terrible suddenness.	bdl
arctic_a0087	arctic_a0087.wav	Philip bent lower, and stared into the face of the dead man.	bdl
arctic_a0088	arctic_a0088.wav	He made sure that the magazine was loaded, and resumed his paddling.	bdl
arctic_a0089	arctic_a0089.wav	The nightglow was treacherous to shoot by.	bdl
arctic_a0090	arctic_a0090.wav	The singing voice approached rapidly.	bdl
arctic_a0091	arctic_a0091.wav	His blood grew hot with rage at the thought.	bdl
arctic_a0092	arctic_a0092.wav	He went down in midstream, searching the shadows of both shores.	bdl
arctic_a0093	arctic_a0093.wav	For a full minute he crouched and listened.	bdl
arctic_a0094	arctic_a0094.wav	He had barely entered this when he saw the glow of a fire.	bdl
arctic_a0095	arctic_a0095.wav	A big canvas tent was the first thing to come within his vision.	bdl
arctic_a0096	arctic_a0096.wav	Perhaps she had already met her fate a little deeper in the forest.	bdl
arctic_a0097	arctic_a0097.wav	Then you can arrange yourself comfortably among these robes in the bow.	bdl
arctic_a0098	arctic_a0098.wav	Shall I carry you.	bdl
arctic_a0099	arctic_a0099.wav	A maddening joy pounded in his brain.	bdl
arctic_a0100	arctic_a0100.wav	You must sleep, he urged.	bdl
arctic_a0101	arctic_a0101.wav	You, you would not keep the truth from me.	bdl
arctic_a0102	arctic_a0102.wav	He will follow us soon.	bdl
arctic_a0103	arctic_a0103.wav	But there came no promise from the bow of the canoe.	bdl
arctic_a0104	arctic_a0104.wav	She was sleeping under his protection as sweetly as a child.	bdl
arctic_a0105	arctic_a0105.wav	Only, it is so wonderful, so almost impossible to believe.	bdl
arctic_a0106	arctic_a0106.wav	The emotion which she had suppressed burst forth now in a choking sob.	bdl
arctic_a0107	arctic_a0107.wav	If you only could know how I thank you.	bdl
arctic_a0108	arctic_a0108.wav	He waded into the edge of the water and began scrubbing himself.	bdl
arctic_a0109	arctic_a0109.wav	Do you know that you are shaking my confidence in you.	bdl
arctic_a0110	arctic_a0110.wav	Much, replied Jeanne, as tersely.	bdl
arctic_a0111	arctic_a0111.wav	Instead, he joined her; and they ate like two hungry children.	bdl
arctic_a0112	arctic_a0112.wav	He was wounded in the arm.	bdl
arctic_a0113	arctic_a0113.wav	I suppose you picked that lingo up among the Indians.	bdl
arctic_a0114	arctic_a0114.wav	Her words sent a strange chill through Philip.	bdl
arctic_a0115	arctic_a0115.wav	He had no excuse for the feelings which were aroused in him.	bdl
arctic_a0116	arctic_a0116.wav	Was it the rendezvous of those who were striving to work his ruin.	bdl
arctic_a0117	arctic_a0117.wav	She added, with genuine sympathy in her face and voice.	bdl
arctic_a0118	arctic_a0118.wav	Pierre obeys me when we are together.	bdl
arctic_a0119	arctic_a0119.wav	Jeanne was turning the bow shoreward.	bdl
arctic_a0120	arctic_a0120.wav	My right foot feels like that of a Chinese debutante.	bdl
arctic_a0121	arctic_a0121.wav	They ate dinner at the fifth, and rested for two hours.	bdl
arctic_a0122	arctic_a0122.wav	Two years ago I gave up civilization for this.	bdl
arctic_a0123	arctic_a0123.wav	She had died from cold and starvation.	bdl
arctic_a0124	arctic_a0124.wav	It was Jeanne singing softly over beyond the rocks.	bdl
arctic_a0125	arctic_a0125.wav	He was determined now to maintain a more certain hold upon himself.	bdl
arctic_a0126	arctic_a0126.wav	Each day she became a more vital part of him.	bdl
arctic_a0127	arctic_a0127.wav	It was a temptation, but he resisted it.	bdl
arctic_a0128	arctic_a0128.wav	This one hope was destroyed as quickly as it was born.	bdl
arctic_a0129	arctic_a0129.wav	Her face was against his breast.	bdl
arctic_a0130	arctic_a0130.wav	She was his now, forever.	bdl
arctic_a0131	arctic_a0131.wav	Providence had delivered him through the maelstrom.	bdl
arctic_a0132	arctic_a0132.wav	A cry of joy burst from Philip's lips.	bdl
arctic_a0133	arctic_a0133.wav	Philip began to feel that he had foolishly overestimated his strength.	bdl
arctic_a0134	arctic_a0134.wav	He obeyed the pressure of her hand.	bdl
arctic_a0135	arctic_a0135.wav	I am going to surprise father, and you will go with Pierre.	bdl
arctic_a0136	arctic_a0136.wav	About him, everywhere, were the evidences of luxury and of age.	bdl
arctic_a0137	arctic_a0137.wav	Then he stepped back with a low cry of pleasure.	bdl
